USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.1 168952  6032 ?        Ss   12:06   0:03 /sbin/init splash
root           2  0.0  0.0      0     0 ?        S    12:06   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        I<   12:06   0:00 [rcu_gp]
root           4  0.0  0.0      0     0 ?        I<   12:06   0:00 [rcu_par_gp]
root           5  0.0  0.0      0     0 ?        I<   12:06   0:00 [slub_flushwq]
root           6  0.0  0.0      0     0 ?        I<   12:06   0:00 [netns]
root           8  0.0  0.0      0     0 ?        I<   12:06   0:00 [kworker/0:0H-events_highpri]
root          10  0.0  0.0      0     0 ?        I<   12:06   0:00 [mm_percpu_wq]
root          11  0.0  0.0      0     0 ?        I    12:06   0:00 [rcu_tasks_kthread]
root          12  0.0  0.0      0     0 ?        I    12:06   0:00 [rcu_tasks_rude_kthread]
root          13  0.0  0.0      0     0 ?        I    12:06   0:00 [rcu_tasks_trace_kthread]
root          14  0.0  0.0      0     0 ?        S    12:06   0:00 [ksoftirqd/0]
root          15  0.1  0.0      0     0 ?        I    12:06   0:21 [rcu_preempt]
root          16  0.0  0.0      0     0 ?        S    12:06   0:00 [migration/0]
root          17  0.0  0.0      0     0 ?        S    12:06   0:00 [idle_inject/0]
root          19  0.0  0.0      0     0 ?        S    12:06   0:00 [cpuhp/0]
root          20  0.0  0.0      0     0 ?        S    12:06   0:00 [cpuhp/1]
root          21  0.0  0.0      0     0 ?        S    12:06   0:00 [idle_inject/1]
root          22  0.0  0.0      0     0 ?        S    12:06   0:00 [migration/1]
root          23  0.0  0.0      0     0 ?        S    12:06   0:00 [ksoftirqd/1]
root          25  0.0  0.0      0     0 ?        I<   12:06   0:00 [kworker/1:0H-events_highpri]
root          26  0.0  0.0      0     0 ?        S    12:06   0:00 [cpuhp/2]
root          27  0.0  0.0      0     0 ?        S    12:06   0:00 [idle_inject/2]
root          28  0.0  0.0      0     0 ?        S    12:06   0:00 [migration/2]
root          29  0.0  0.0      0     0 ?        S    12:06   0:00 [ksoftirqd/2]
root          31  0.0  0.0      0     0 ?        I<   12:06   0:00 [kworker/2:0H-events_highpri]
root          32  0.0  0.0      0     0 ?        S    12:06   0:00 [cpuhp/3]
root          33  0.0  0.0      0     0 ?        S    12:06   0:00 [idle_inject/3]
root          34  0.0  0.0      0     0 ?        S    12:06   0:00 [migration/3]
root          35  0.0  0.0      0     0 ?        S    12:06   0:00 [ksoftirqd/3]
root          37  0.0  0.0      0     0 ?        I<   12:06   0:00 [kworker/3:0H-events_highpri]
root          38  0.0  0.0      0     0 ?        S    12:06   0:00 [cpuhp/4]
root          39  0.0  0.0      0     0 ?        S    12:06   0:00 [idle_inject/4]
root          40  0.0  0.0      0     0 ?        S    12:06   0:00 [migration/4]
root          41  0.0  0.0      0     0 ?        S    12:06   0:00 [ksoftirqd/4]
root          43  0.0  0.0      0     0 ?        I<   12:06   0:00 [kworker/4:0H-events_highpri]
root          44  0.0  0.0      0     0 ?        S    12:06   0:00 [cpuhp/5]
root          45  0.0  0.0      0     0 ?        S    12:06   0:00 [idle_inject/5]
root          46  0.0  0.0      0     0 ?        S    12:06   0:00 [migration/5]
root          47  0.0  0.0      0     0 ?        S    12:06   0:00 [ksoftirqd/5]
root          49  0.0  0.0      0     0 ?        I<   12:06   0:00 [kworker/5:0H-events_highpri]
root          50  0.0  0.0      0     0 ?        S    12:06   0:00 [cpuhp/6]
root          51  0.0  0.0      0     0 ?        S    12:06   0:00 [idle_inject/6]
root          52  0.0  0.0      0     0 ?        S    12:06   0:00 [migration/6]
root          53  0.0  0.0      0     0 ?        S    12:06   0:00 [ksoftirqd/6]
root          55  0.0  0.0      0     0 ?        I<   12:06   0:00 [kworker/6:0H-kblockd]
root          56  0.0  0.0      0     0 ?        S    12:06   0:00 [cpuhp/7]
root          57  0.0  0.0      0     0 ?        S    12:06   0:00 [idle_inject/7]
root          58  0.0  0.0      0     0 ?        S    12:06   0:00 [migration/7]
root          59  0.0  0.0      0     0 ?        S    12:06   0:00 [ksoftirqd/7]
root          61  0.0  0.0      0     0 ?        I<   12:06   0:00 [kworker/7:0H-events_highpri]
root          62  0.0  0.0      0     0 ?        S    12:06   0:00 [cpuhp/8]
root          63  0.0  0.0      0     0 ?        S    12:06   0:00 [idle_inject/8]
root          64  0.0  0.0      0     0 ?        S    12:06   0:00 [migration/8]
root          65  0.0  0.0      0     0 ?        S    12:06   0:00 [ksoftirqd/8]
root          67  0.0  0.0      0     0 ?        I<   12:06   0:00 [kworker/8:0H-events_highpri]
root          68  0.0  0.0      0     0 ?        S    12:06   0:00 [cpuhp/9]
root          69  0.0  0.0      0     0 ?        S    12:06   0:00 [idle_inject/9]
root          70  0.0  0.0      0     0 ?        S    12:06   0:00 [migration/9]
root          71  0.0  0.0      0     0 ?        S    12:06   0:00 [ksoftirqd/9]
root          73  0.0  0.0      0     0 ?        I<   12:06   0:00 [kworker/9:0H-kblockd]
root          74  0.0  0.0      0     0 ?        S    12:06   0:00 [cpuhp/10]
root          75  0.0  0.0      0     0 ?        S    12:06   0:00 [idle_inject/10]
root          76  0.0  0.0      0     0 ?        S    12:06   0:00 [migration/10]
root          77  0.0  0.0      0     0 ?        S    12:06   0:00 [ksoftirqd/10]
root          79  0.0  0.0      0     0 ?        I<   12:06   0:00 [kworker/10:0H-events_highpri]
root          80  0.0  0.0      0     0 ?        S    12:06   0:00 [cpuhp/11]
root          81  0.0  0.0      0     0 ?        S    12:06   0:00 [idle_inject/11]
root          82  0.0  0.0      0     0 ?        S    12:06   0:00 [migration/11]
root          83  0.0  0.0      0     0 ?        S    12:06   0:00 [ksoftirqd/11]
root          85  0.0  0.0      0     0 ?        I<   12:06   0:00 [kworker/11:0H-events_highpri]
root          86  0.0  0.0      0     0 ?        S    12:06   0:00 [kdevtmpfs]
root          87  0.0  0.0      0     0 ?        I<   12:06   0:00 [inet_frag_wq]
root          88  0.0  0.0      0     0 ?        S    12:06   0:00 [kauditd]
root          89  0.0  0.0      0     0 ?        S    12:06   0:00 [khungtaskd]
root          91  0.0  0.0      0     0 ?        S    12:06   0:00 [oom_reaper]
root          92  0.0  0.0      0     0 ?        I<   12:06   0:00 [writeback]
root          94  0.0  0.0      0     0 ?        S    12:06   0:10 [kcompactd0]
root          95  0.0  0.0      0     0 ?        SN   12:06   0:00 [ksmd]
root          96  0.0  0.0      0     0 ?        SN   12:06   0:00 [khugepaged]
root          97  0.0  0.0      0     0 ?        I<   12:06   0:00 [kintegrityd]
root          98  0.0  0.0      0     0 ?        I<   12:06   0:00 [kblockd]
root          99  0.0  0.0      0     0 ?        I<   12:06   0:00 [blkcg_punt_bio]
root         101  0.0  0.0      0     0 ?        I<   12:06   0:00 [tpm_dev_wq]
root         102  0.0  0.0      0     0 ?        I<   12:06   0:00 [ata_sff]
root         103  0.0  0.0      0     0 ?        I<   12:06   0:00 [md]
root         104  0.0  0.0      0     0 ?        I<   12:06   0:00 [edac-poller]
root         105  0.0  0.0      0     0 ?        I<   12:06   0:00 [devfreq_wq]
root         107  0.0  0.0      0     0 ?        S    12:06   0:00 [watchdogd]
root         108  0.0  0.0      0     0 ?        I<   12:06   0:00 [kworker/10:1H-kblockd]
root         109  0.0  0.0      0     0 ?        S    12:06   0:00 [irq/25-AMD-Vi]
root         110  0.1  0.0      0     0 ?        R    12:06   0:33 [kswapd0]
root         111  0.0  0.0      0     0 ?        S    12:06   0:00 [ecryptfs-kthread]
root         117  0.0  0.0      0     0 ?        I<   12:06   0:00 [kthrotld]
root         132  0.0  0.0      0     0 ?        I<   12:06   0:00 [acpi_thermal_pm]
root         133  0.0  0.0      0     0 ?        S    12:06   0:00 [xenbus_probe]
